venue,title,year,authors,entityUrl
SIGMOD Conference,CMVF: A Novel Dimension Reduction Scheme for Efficient Indexing in A Large Image Database,2003,"John Shepherd, Quan Z. Sheng, Du Q. Huynh, Jialie Shen, Anne H. H. Ngu",conf/sigmod/ShenNSHS03
SIGMOD Conference,Your Mediators Need Data Conversion!,1998,"Sophie Cluet, Katarzyna Smaga, J�r�me Sim�on, Claude Delobel",conf/sigmod/CluetDSS98
SIGMOD Record,Generating Spatiotemporal Datasets on the WWW,2000,"Mario A. Nascimento, Yannis Theodoridis",journals/sigmod/TheodoridisN00
VLDB,Enabling End-users to Construct Data-intensive Web-sites from XML Repositories: An Example-based Approach,2001,"Hiroyuki Kitagawa, Satoshi Takano, Seiichi Koizumi, Atsuyuki Morishima",conf/vldb/MorishimaKKT01
SIGMOD Conference,The COntext INterchange Mediator Prototype,1997,"Kofi Fynn, Henry B. Kon, Cheng Hian Goh, Thomas Lee, St�phane Bressan, Stuart E. Madnick, Michael Siegel, Annie W. Shum, Marta Jessica Jakobisiak, Tito Pena, Jessica Qu, Karim Hussein",conf/sigmod/BressanGFJHKLMPQSS97
VLDB,1-Safe Algorithms for Symmetric Site Configurations,1997,"Maitrayi Sabaratnam, �ystein Torbj�rnsen, Rune Humborstad, Svein-Olaf Hvasshovd",conf/vldb/HumborstadSHT97
SIGMOD Record,A Framework for Information Visualisation,1996,"Peter J. Barclay, Kenneth J. Mitchell, Jessie B. Kennedy",journals/sigmod/KennedyMB96
SIGMOD Record,Introduction to Constraint Databases - Book Review,2002,Bart Kuijpers,journals/sigmod/Kuijpers02
ACM Trans. Database Syst.,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,1999,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer",journals/tods/DattaVCK99
SIGMOD Conference,Bitmap Index Design and Evaluation,1998,"Yannis E. Ioannidis, Chee Yong Chan",conf/sigmod/ChanI98
SIGMOD Record,Book review column,2003,Karl Aberer,journals/sigmod/Aberer03d
SIGMOD Record,Analysis of existing databases at the logical level: the DBA companion project,2003,"Fabien De Marchi, Jean-Marc Petit, Farouk Toumani, St�phane Lopes",journals/sigmod/MarchiLPT03
SIGMOD Conference,A Framework for Supporting Data Integration Using the Materialized and Virtual Approaches,1996,"Gang Zhou, Richard Hull",conf/sigmod/HullZ96
SIGMOD Conference,From Browsing to Interacting: DBMS Support for Responive Websites (Abstract),2000,Raghu Ramakrishnan,conf/sigmod/Ramakrishnan00
SIGMOD Conference,Enterprise Transaction Processing on Windows NT,1995,Greg Hope,conf/sigmod/Hope95
SIGMOD Record,Semantic Integration of Semistructured and Structured Data Sources,1999,"Sonia Bergamaschi, Maurizio Vincini, Silvana Castano",journals/sigmod/BergamaschiCV99
SIGMOD Conference,Picture Programming Project,1997,"Nita Goyal, Mosh� M. Zloof, Charles Hoch, Michael Suckow, Ravi Krishnamurthy, Brian Meckler",conf/sigmod/GoyalHKMSZ97
SIGMOD Conference,AJAX: An Extensible Data Cleaning Tool,2000,"Daniela Florescu, Helena Galhardas, Dennis Shasha, Eric Simon",conf/sigmod/Galhardas00
SIGMOD Conference,"Database tuning: principles, experiments, and troubleshooting techniques (part I)",2002,"Dennis Shasha, Philippe Bonnet",conf/sigmod/ShashaB02a
VLDB,Tuple Routing Strategies for Distributed Eddies,2003,"Feng Tian, David J. DeWitt",conf/vldb/TianD03
VLDB,Aqua: A Fast Decision Support Systems Using Approximate Query Answers,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",conf/vldb/AcharyaGP99
VLDB,Systematic Development of Data Mining-Based Data Quality Tools,2003,"Matthias Jarke, Udo Grimmer, Dominik L�bbers",conf/vldb/LubbersGJ03
SIGMOD Conference,XL: a platform for web services,2002,"Andreas Gr�nhagen, Steffen Rost, Donald Kossmann, Daniela Florescu",conf/sigmod/FlorescuGKR02
SIGMOD Conference,Prospector: A Content-Based Multimedia Server for Massively Parallel Architectures,1996,"G. Linderman, Alexandros Biliris, H. Chen, K. Ganapathi, Euthimios Panagos, S. Choo, David Schrader, William O'Connell",conf/sigmod/ChooOLCGBPS96
VLDB,Exploiting Versions for On-line Data Warehouse Maintenance in MOLAP Servers,2002,"Heum-Geun Kang, Chin-Wan Chung",conf/vldb/KangC02
SIGMOD Conference,Optimizing Disjunctive Queries with Expensive Predicates,1994,"Alfons Kemper, Guido Moerkotte, Michael Steinbrunn, Klaus Peithner",conf/sigmod/KemperMPS94
VLDB,An Approach for Building Secure Database Federations,1994,"Klaus R. Dittrich, Dirk Jonscher",conf/vldb/JonscherD94
VLDB J.,Guest Editorial: Databases and the Web,2000,"Alberto O. Mendelzon, Paolo Atzeni",journals/vldb/AtzeniM00
SIGMOD Record,Guidelines for Presentation and Comparison of Indexing Techniques,1996,"Kotagiri Ramamohanarao, Alistair Moffat, Justin Zobel",journals/sigmod/ZobelMR96
VLDB,A Bandwidth Model for Internet Search,2002,Axel Uhl,conf/vldb/Uhl02
SIGMOD Conference,A System for Watermarking Relational Databases,2003,"Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",conf/sigmod/AgrawalK03
VLDB,Mining Multi-Dimensional Constrained Gradients in Data Cubes,2001,"Jiawei Han, Ke Wang, Joyce M. W. Lam, Guozhu Dong, Jian Pei",conf/vldb/DongHLPW01
SIGMOD Conference,A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,2003,"M. Tamer �zsu, David Toman, Mariano P. Consens, David DeHaan",conf/sigmod/DeHaanTCO03
SIGMOD Record,Advanced XML Data Processing - Guest Editor's Introduction,2001,Karl Aberer,journals/sigmod/Aberer01
VLDB J.,An Asymptotically Optimal Multiversion B-Tree,1996,"Thomas Ohler, Peter Widmayer, Bruno Becker, Stephan Gschwind, Bernhard Seeger",journals/vldb/BeckerGOSW96
SIGMOD Record,Interview with Rakesh Agrawal,2003,Marianne Winslett,journals/sigmod/Winslett03b
SIGMOD Conference,Supporting Multiple View Maintenance Policies,1997,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",conf/sigmod/ColbyKLMR97
SIGMOD Conference,FlowBack: Providing Backward Recovery for Workflow Systems,1998,"Maria E. Orlowska, Ralf M�hlberger, Bartek Kiepuszewski",conf/sigmod/KiepuszewskiMO98
VLDB,Towards Event-Driven Modelling for Database Design,1994,"Maguelonne Teisseire, Pascal Poncelet, Rosine Cicchetti",conf/vldb/TeisseirePC94
SIGMOD Conference,Congressional Samples for Approximate Answering of Group-By Queries,2000,"Viswanath Poosala, Swarup Acharya, Phillip B. Gibbons",conf/sigmod/AcharyaGP00
VLDB J.,A Configrable Type Hierarchy Index for OODB,1997,"Thomas A. M�ck, Martin L. Polaschek",journals/vldb/MuckP97
VLDB J.,Functional-Join Processing,2000,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann, Jens Clau�en",journals/vldb/BraumandlCKK00
SIGMOD Conference,AutoAdmin 'What-if' Index Analysis Utility,1998,"Surajit Chaudhuri, Vivek R. Narasayya",conf/sigmod/ChaudhuriN98
SIGMOD Conference,Efficient k-NN search on vertically decomposed data,2002,"Niels Nes, Martin L. Kersten, Nikos Mamoulis, Arjen P. de Vries",conf/sigmod/VriesMNK02
SIGMOD Conference,"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",1999,Praveen Seshadri,conf/sigmod/Seshadri99
VLDB,The Impact of Global Clustering on Spatial Database Systems,1994,"Thomas Brinkhoff, Hans-Peter Kriegel",conf/vldb/BrinkhoffK94
VLDB,Access to Objects by Path Expressions and Rules,1994,"J�rgen Frohn, Georg Lausen, Heinz Uphoff",conf/vldb/FrohnLU94
VLDB,A Multi-version Cache Replacement and Prefetching Policy for Hybrid Data Delivery Environments,2002,"Andr� Seifert, Marc H. Scholl",conf/vldb/SeifertS02
SIGMOD Conference,On Parallel Execution of Multiple Pipelined Hash Joins,1994,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen",conf/sigmod/HsiaoCY94
ACM Trans. Database Syst.,Preference formulas in relational queries,2003,Jan Chomicki,journals/tods/Chomicki03
SIGMOD Record,Supply Chain Infrastructures: System Integration and Information Sharing,2002,"Michael O. Ball, Louiqa Raschid, Meng Ma, Zhengying Zhao",journals/sigmod/BallMRZ02
VLDB,Critical Database Technologies for High Energy Physics,1997,"David M. Malon, Edward N. May",conf/vldb/MalonM97
SIGMOD Record,Chair's Message,2000,Richard T. Snodgrass,journals/sigmod/Snodgrass00
SIGMOD Conference,Composing XSL Transformations with XML Publishing Views,2003,"Chengkai Li, P. P. S. Narayan, Henry F. Korth, Philip Bohannon",conf/sigmod/LiBKN03
SIGMOD Conference,Informix Online XPS,1995,Robert H. Gerber,conf/sigmod/Gerber95
ACM Trans. Database Syst.,Analysis of predictive spatio-temporal queries,2003,"Dimitris Papadias, Jimeng Sun, Yufei Tao",journals/tods/TaoSP03
SIGMOD Conference,Quickly Generating Billion-Record Synthetic Databases,1994,"Susanne Englert, Jim Gray, Kenneth Baclawski, Peter J. Weinberger, Prakash Sundaresan",conf/sigmod/GraySEBW94
VLDB,Projecting XML Documents,2003,"Am�lie Marian, J�r�me Sim�on",conf/vldb/MarianS03
VLDB,Sampling Large Databases for Association Rules,1996,Hannu Toivonen,conf/vldb/Toivonen96
ACM Trans. Database Syst.,"Adaptive, Fine-Grained Sharing in a Client-Server OODBMS: A Callback-Based Approach",1997,"Michael J. Carey, Michael J. Franklin, Markos Zaharioudakis",journals/tods/ZaharioudakisCF97
VLDB,A Performance Evaluation of OID Mapping Techniques,1995,"Andr� Eickler, Carsten Andreas Gerlhof, Donald Kossmann",conf/vldb/EicklerGK95
SIGMOD Record,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",2001,Marianne Winslett,journals/sigmod/Winslett01
SIGMOD Record,Political Winds Change Direction Again,1995,Xiaolei Qian,journals/sigmod/Qian95
VLDB,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,2000,"Surajit Chaudhuri, Gerhard Weikum",conf/vldb/ChaudhuriW00
VLDB J.,Online dynamic reordering,2000,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",journals/vldb/RamanRH00
VLDB J.,HyperFile: A Data and Query Model for Documents,1995,"David Bloom, Chris Clifton, Hector Garcia-Molina",journals/vldb/CliftonGB95
SIGMOD Record,A Case for Intelligent Disks (IDISKs),1998,"Kimberly Keeton, Joseph M. Hellerstein, David A. Patterson",journals/sigmod/KeetonPH98
SIGMOD Conference,Learning table access cardinalities with LEO,2002,"Volker Markl, Guy M. Lohman",conf/sigmod/MarklL02
SIGMOD Record,Implementing Deletion in B+-Trees,1995,Jan Jannink,journals/sigmod/Jannink95
VLDB,Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,1999,"K. Bernhard Schiefer, Fred Koo, T. Y. Cliff Leung, Linqi Liu, Jarek Gryz, Xiaoyan Qian, Qi Cheng",conf/vldb/ChengGKLLQS99
VLDB,Multiple-View Self-Maintenance in Data Warehousing Environments,1997,Nam Huyn,conf/vldb/Huyn97
SIGMOD Conference,Oracle Media Server: Providing Consumer Based Interactive Access to Multimedia Data,1994,"Mark Porter, Andrew Laursen, Jeffrey Olkin",conf/sigmod/LaursenOP94
VLDB,IrisNet: An Architecture for Internet-scale Sensing Services,2003,"Phillip B. Gibbons, Suman Nath, Amol Deshpande, Srinivasan Seshan, Brad Karp, Yan Ke",conf/vldb/NathDKGKS03
SIGMOD Conference,A Framework for Expressing and Combining Preferences,2000,"Edward L. Wimmers, Rakesh Agrawal",conf/sigmod/AgrawalW00
SIGMOD Conference,The MYRIAD Federated Database Prototype,1994,"K. Mediratta, Ee-Peng Lim, J. Stenoien, S. Musukula, Jaideep Srivastava, H.-R. Yang, D. Clements, M. Ganesh, San-Yih Hwang",conf/sigmod/HwangLYMMGCSS94
SIGMOD Conference,Xmas: An Extensible Main-Memory Storage System for High-Performance Applications,1998,"Ki Hong Kim, Yong Sik Kwon, Sang Kyun Cha, Jang Ho Park, Byoung Dae Park, Sangho Lee",conf/sigmod/ParkKKLPC98
VLDB,Effective Change Detection Using Sampling,2002,"Alexandros Ntoulas, Junghoo Cho",conf/vldb/ChoN02
VLDB,Qualified Answers That Reflect User Needs and Preferences,1994,"Terry Gaasterland, Jorge Lobo",conf/vldb/GaasterlandL94
SIGMOD Record,Constraints for Semi-structured Data and XML,2001,"Wenfei Fan, Peter Buneman, Scott Weinstein, J�r�me Sim�on",journals/sigmod/BunemanFSW01
SIGMOD Record,Trade Press News,1995,Rafael Alonso,journals/sigmod/Alonso95a
SIGMOD Record,ACM Multimedia '94 Conference Workshop on Multimedia Database Management Systems,1995,"P. Bruce Berra, Bhavani M. Thuraisingham, Kingsley C. Nwosu",journals/sigmod/BerraNT95
SIGMOD Conference,Querying and mining data streams: you only get one look a tutorial,2002,"Minos N. Garofalakis, Rajeev Rastogi, Johannes Gehrke",conf/sigmod/GarofalakisGR02
SIGMOD Record,Book review column,2003,Karl Aberer,journals/sigmod/Aberer03b
SIGMOD Conference,Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,2001,"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis",conf/sigmod/DeshpandeGR01
VLDB,XMark: A Benchmark for XML Data Management,2002,"Martin L. Kersten, Ralph Busse, Florian Waas, Michael J. Carey, Albrecht Schmidt, Ioana Manolescu",conf/vldb/SchmidtWKCMB02
SIGMOD Record,Chair's Message,2003,M. Tamer �zsu,journals/sigmod/Ozsu03
VLDB J.,Approximate Similarity Retrieval with M-Trees,1998,"Fausto Rabitti, Giuseppe Amato, Pavel Zezula, Pasquale Savino",journals/vldb/ZezulaSAR98
VLDB,Finding Intensional Knowledge of Distance-Based Outliers,1999,"Raymond T. Ng, Edwin M. Knorr",conf/vldb/KnorrN99
SIGMOD Conference,Highly Concurrent Cache Consistency for Indices in Client-Server Database Systems,1997,"Michael J. Carey, Markos Zaharioudakis",conf/sigmod/ZaharioudakisC97
ACM Trans. Database Syst.,A Taxonomy for Secure Object-Oriented Databases,1994,"Sebastiaan H. von Solms, Martin S. Olivier",journals/tods/OliverS94
SIGMOD Conference,XTRACT: A System for Extracting Document Type Descriptors from XML Documents,2000,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim",conf/sigmod/GarofalakisGRSS00
VLDB,ATLAS: A Small but Complete SQL Extension for Data Mining and Data Streams,2003,"Haixun Wang, Chang Luo, Carlo Zaniolo",conf/vldb/WangZL03
SIGMOD Conference,Filtering Algorithms and Implementation for Very Fast Publish/Subscribe,2001,"Kenneth A. Ross, Fran�oise Fabret, Fran�ois Llirbat, Jo�o Pereira, Hans-Arno Jacobsen, Dennis Shasha",conf/sigmod/FabretJLPRS01
SIGMOD Conference,Towards an Effective Calculus for Object Query Languages,1995,"David Maier, Leonidas Fegaras",conf/sigmod/FegarasM95
SIGMOD Record,XML schema,2003,"Jim Melton, Charles E. Campbell, Andrew Eisenberg",journals/sigmod/CampbellEM03
VLDB J.,Fast and accurate text classification via multiple linear discriminant projections pp,2003,"Shourya Roy, Mahesh V. Soundalgekar, Soumen Chakrabarti",journals/vldb/ChakrabartiRS03
VLDB,Document Management as a Database Problem,1995,Rudolf Bayer,conf/vldb/Bayer95
VLDB,Fast Incremental Maintenance of Approximate Histograms,1997,"Yossi Matias, Phillip B. Gibbons, Viswanath Poosala",conf/vldb/GibbonsMP97
SIGMOD Conference,Minimization of Tree Pattern Queries,2001,"Sihem Amer-Yahia, Divesh Srivastava, Laks V. S. Lakshmanan, SungRan Cho",conf/sigmod/Amer-YahiaCLS01
SIGMOD Record,Report on The fourth International Conference on Flexible Query Answering systems,2001,"Gabriella Pasi, Amihai Motro, Patrick Bosc",journals/sigmod/BoscMP01
SIGMOD Conference,A User-Centered Interface for Querying Distributed Multimedia Databases,1999,"Kimberly M. James, Isabel F. Cruz",conf/sigmod/CruzJ99
VLDB,Evaluating Functional Joins Along Nested Reference Sets in Object-Relational and Object-Oriented Databases,1998,"Alfons Kemper, Reinhard Braumandl, Jens Clau�en",conf/vldb/BraumandlCK98
VLDB,The Query Optimizer in Tandem's new ServerWare SQL Product,1996,Pedro Celis,conf/vldb/Celis96
VLDB,Self-similarity in the Web,2001,"Stephen Dill, Andrew Tomkins, Ravi Kumar, Sridhar Rajagopalan, Kevin S. McCurley, D. Sivakumar",conf/vldb/DillKMRST01
SIGMOD Record,Developments at ACM TODS,2003,Richard T. Snodgrass,journals/sigmod/Snodgrass03c
VLDB,SIT-IN: a Real-Life Spatio-Temporal Information System,2001,"Stefano De Francisci, Rossella Molinaro, Orietta Gargano, Mario Paolucci, Leonardo Tininini, Giuseppe Sindoni, Paola Patteri, Amedea Ambrosetti, Pina Ticca, Cristina Bedeschi",conf/vldb/SindoniTABFGMPPT01
ACM Trans. Database Syst.,Conceptual Schema Analysis: Techniques and Applications,1998,"Valeria De Antonellis, Barbara Pernici, Maria Grazia Fugini, Silvana Castano",journals/tods/CastanoAFP98
VLDB,On the Discovery of Interesting Patterns in Association Rules,1998,"Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz",conf/vldb/RamaswamyMS98
VLDB,"DB2 Common Server: Technology, Progress, & Directions",1995,Bruce G. Lindsay,conf/vldb/Lindsay95
SIGMOD Conference,Models and Languages for Describing and Discovering E-Services,2001,"Ming-Chien Shan, Fabio Casati",conf/sigmod/CasatiS01
ACM Trans. Database Syst.,Distributed query evaluation on semistructured data,2002,Dan Suciu,journals/tods/Suciu02
VLDB,Database Management Systems and the Internet,1996,Susan Malaika,conf/vldb/Malaika96
VLDB,Estimating the Selectivity of XML Path Expressions for Internet Scale Applications,2001,"Ashraf Aboulnaga, Jeffrey F. Naughton, Alaa R. Alameldeen",conf/vldb/AboulnagaAN01
VLDB,Active XML: Peer-to-Peer Data and Web Services Integration,2002,"Tova Milo, Roger Weber, Ioana Manolescu, Omar Benjelloun, Serge Abiteboul",conf/vldb/AbiteboulBMMW02
VLDB,A 20/20 Vision of the VLDB-2020?,2000,"Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen",conf/vldb/DeenJNNW00
SIGMOD Record,A Brief Survey of Web Data Extraction Tools,2002,"Berthier A. Ribeiro-Neto, Alberto H. F. Laender, Altigran Soares da Silva, Juliana S. Teixeira",journals/sigmod/LaenderRST02
SIGMOD Record,Editor's Notes,1994,Arie Segev,journals/sigmod/Segev94a
VLDB,"PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance",1999,"Antony L. Hosking, Jiawan Chen",conf/vldb/HoskingC99
SIGMOD Conference,Query Execution Techniques for Caching Expensive Methods,1996,"Joseph M. Hellerstein, Jeffrey F. Naughton",conf/sigmod/HellersteinN96
SIGMOD Conference,Online Query Processing,2001,"Peter J. Haas, Joseph M. Hellerstein",conf/sigmod/HaasH01
SIGMOD Conference,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",1997,Dennis Shasha,conf/sigmod/Shasha97
ACM Trans. Database Syst.,Declarative Updates of Relational Databases,1995,Weidong Chen,journals/tods/Chen95
VLDB,A Case for Fractured Mirrors,2002,"Ravishankar Ramamurthy, Qi Su, David J. DeWitt",conf/vldb/RamamurthyDS02
VLDB,Providing Dynamic Security Control in a Federated Database,1994,"R. F. Churchhouse, W. A. Gray, N. B. Idris",conf/vldb/IdrisGC94
SIGMOD Record,"Semantic Web Workshop: Models, Architectures and Management",2001,"Vassilis Christophides, Dimitris Plexousakis, Panos Constantopoulos",journals/sigmod/ConstantopoulosCP01
VLDB,Persistent Threads,1994,"Joachim W. Schmidt, Florian Matthes",conf/vldb/MatthesS94
SIGMOD Conference,Secure Transaction Processing in Firm Real-Time Database Systems,1997,"Binto George, Jayant R. Haritsa",conf/sigmod/GeorgeH97
