title,year,authors,venue
A template model for multidimensional inter-transactional association rules,2002,"Ling Feng, Jeffrey Xu Yu, Hongjun Lu, Jiawei Han",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficient similarity search for market basket data,2002,"Alexandros Nanopoulos, Yannis Manolopoulos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Semantic and schematic similarities between database objects: a context-based approach,1996,"Vipul Kashyap, Amit Sheth",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An asymptotically optimal multiversion B-tree,1996,"Bruno Becker, Stephan Gschwind, Thomas Ohler, Bernhard Seeger, Peter Widmayer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Building knowledge base management systems,1996,"John Mylopoulos, Vinay Chaudhri, Dimitris Plexousakis, Adel Shrufi, Thodoros Topologlou",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Query processing and optimization in Oracle Rdb,1996,"Gennady Antoshenkov, Mohamed Ziauddin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Locating and accessing data repositories with WebSemantics,2002,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Searching in metric spaces by spatial approximation,2002,Gonzalo Navarro,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficient retrieval of similar shapes,2002,"Davood Rafiei, Alberto O. Mendelzon",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Indexing of now-relative spatio-bitemporal data,2002,"Simonas &#352;altenis, Christian S. Jensen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Join algorithm costs revisited,1996,"Evan P. Harris, Kotagiri Ramamohanarao",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A taxonomy of correctness criteria in database applications,1996,"Krithi Ramamritham, Panos K. Chrysanthis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A predicate-based caching scheme for client-server database architectures,1996,"Arthur M. Keller, Julie Basu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Mariposa: a wide-area distributed database system,1996,"Michael Stonebraker, Paul M. Aoki, Witold Litwin, Avi Pfeffer, Adam Sah, Jeff Sidell, Carl Staelin, Andrew Yu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Access path support for referential integrity in SQL2,1996,"Theo H&#228;rder, Joachim Reinert",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Index nesting - an efficient approach to indexing in object-oriented databases,1996,"Beng Chin Ooi, Jiawei Han, Hongjun Lu, Kian Lee Tan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A complete temporal relational algebra,1996,"Debabrata Dey, Terence M. Barron, Veda C. Storey",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The design and implementation of K: a high-level knowledge-base programming language of OSAM*.KBMS,1996,"Yuh-Ming Shyy, Javier Arroyo, Stanley Y.W. Su, Herman Lam",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The GMAP: a versatile tool for physical data independence,1996,"Odysseas G. Tsatalos, Marvin H. Solomon, Yannis E. Ioannidis",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Algebraic query optimisation for database programming languages,1996,"Alexandra Poulovassilis, Carol Small",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A configurable type hierarchy index for OODB,1997,"Thomas A. Mueck, Martin L. Polaschek",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Using extended feature objects for partial similarity retrieval,1997,"Stefan Berchtold, Daniel A. Keim, Hans-Peter Kriegel",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Parallelizing OODBMS traversals: a performance evaluation,1996,"David J. De Witt, Jeffrey F. Naughton, John C. Shafer, Shivakumar Venkataraman",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Priority assignment in real-time active databases,1996,"Rajendran M. Sivasankaran, John A. Stankovic, Don Towsley, Bhaskar Purimetla, Krithi Ramamritham",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Type-safe relaxing of schema consistency rules for flexible modelling in OODBMS,1996,"Eric Amiel, Marie-Jo Bellosta, Eric Dujardin, Eric Simon",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An experimental object-based sharing system for networked databases,1996,"Doug Fang, Shahram Ghandeharizadeh, Dennis McLeod",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Guest editorial,2000,"Paolo Atzeni, Alberto O. Mendelzon",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Optimizing multiple dimensional queries simultaneously in multidimensional databases,2000,"Weifa Liang, Maria E. Orlowska, Jeffrey X. Yu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Learning response time for WebSources using query feedback and application in query optimization,2000,"Jean-Robert Gruser, Louiqa Raschid, Vladimir Zadorozhny, Tao Zhan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Semantic caching of Web queries,2000,"Boris Chidlovskii, Uwe M. Borghoff",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Effective timestamping in databases,2000,"Kristian Torp, Christian S. Jensen, Richard Thomas Snodgrass",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Quantifiable data mining using ratio rules,2000,"Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Update propagation strategies to improve freshness in lazy master replicated databases,2000,"Esther Pacitti, Eric Simon",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
WaveCluster: a wavelet-based clustering approach for spatial data in very large databases,2000,"Gholamhosein Sheikholeslami, Surojit Chatterjee, Aidong Zhang",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The LHAM log-structured history data access method,2000,"Peter Muth, Patrick O'Neil, Achim Pick, Gerhard Weikum",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Secure buffering in firm real-time database systems,2000,"Binto George, Jayant R. Haritsa",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Distance-based outliers: algorithms and applications,2000,"Edwin M. Knorr, Raymond T. Ng, Vladimir Tucakov",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Clustering categorical data: an approach based on dynamical systems,2000,"David Gibson, Jon Kleinberg, Prabhakar Raghavan",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
An XML query engine for network-bound data,2002,"Zachary G. Ives, A. Y. Halevy, D. S. Weld",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficient filtering of XML documents with XPath expressions,2002,"C.-Y. Chan, P. Felber, M. Garofalakis, R. Rastogi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Functional-join processing,2000,"R. Braumandl, J. Claussen, A. Kemper, D. Kossmann",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Foreword by the VLDB '98 PC Chairmen,2000,"O. Shmueli, J. Widom",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
TIMBER: A native XML database,2002,"H. V. Jagadish, S. Al-Khalifa, A. Chapman, L. V. S. Lakshmanan, A. Nierman, S. Paparizos, J. M. Patel, D. Srivastava, N. Wiwatwattana, Y. Wu, C. Yu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Anatomy of a native XML base management system,2002,"T. Fiebig, S. Helmer, C.-C. Kanne, G. Moerkotte, J. Neumann, R. Schiele, T. Westmann",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Tree pattern query minimization,2002,"S. Amer-Yahia, S. Cho, L. V. S. Lakshmanan, D. Srivastava",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficient schemes for managing multiversionXML documents,2002,"S.-Y. Chien, V. J. Tsotras, C. Zaniolo",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Description logics for semantic query optimization in object-oriented database systems,2003,"Domenico Beneventano, Sonia Bergamaschi, Claudio Sartori",ACM Transactions on Database Systems (TODS)
A simple algorithm for finding frequent elements in streams and bags,2003,"Richard M. Karp, Scott Shenker, Christos H. Papadimitriou",ACM Transactions on Database Systems (TODS)
Adaptive algorithms for set containment joins,2003,"Sergey Melnik, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS)
Guest Editorial,2002,Alon Y. Halevy,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
PicoDMBS: Scaling Down Database Techniques for the Smartcard,2000,"Christophe Bobineau, Luc Bouganim, Philippe Pucheral, Patrick Valduriez",Very Large Data Bases
PicoDBMS: Validation and Experience,2001,"Nicolas Anciaux, Christophe Bobineau, Luc Bouganim, Philippe Pucheral, Patrick Valduriez",Very Large Data Bases
NetCube: A Scalable Tool for Fast Data Mining and Compression,2001,"Dimitris Margaritis, Christos Faloutsos, Sebastian Thrun",Very Large Data Bases
DB2 Spatial Extender - Spatial data within the RDBMS,2001,David W. Adler,Very Large Data Bases
The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,1999,Kjetil N&#248;rv&#229;g,Very Large Data Bases
Efficient Numerical Error Bounding for Replicated Network Services,2000,"Haifeng Yu, Amin Vahdat",Very Large Data Bases
Memex: A Browsing Assistant for Collaborative Archiving and Mining of Surf Trails,2000,"Soumen Chakrabarti, Sandeep Srivastava, Mallela Subramanyam, Mitul Tiwari",Very Large Data Bases
Building and Customizing Data-Intensive Web Sites Using Weave,2000,"Khaled Yagoub, Daniela Florescu, Val&#233;rie Issarny, Patrick Valduriez",Very Large Data Bases
"Advanced data processing in KRISYS: modeling concepts, implementation techniques, and client/server issues",1998,"Stefan De&#223;loch, Theo H&#228;rder, Nelson Mattos, Bernhard Mitschang, Joachim Thomas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Maintenance of implication integrity constraints under updates to constraints,1998,"Naci S. Ishakbeyoglu, Z. Meral Ozsoyoglu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Data partitioning and load balancing in parallel disk systems,1998,"Peter Scheuermann, Gerhard Weikum, Peter Zabback",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The OODB path-method generator (PMG) using access weights and precomputed access relevance,1998,"Ashish Mehta, James Geller, Yehoshua Perl, Erich Neuhold",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A flexible and recoverable client/server database event notification system,1998,"Eric N. Hanson, I.-Cheng Chen, Roxana Dastur, Kurt Engel, Vijay Ramaswamy, Wendy Tan, Chun Xu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
"Optimizing relational queries in connection hypergraphs: nested queries, views, and binding propagations",1998,Jia Liang Han,The VLDB Journal &mdash; The International Journal on Very Large Data Bases
OPT++ : an object-oriented implementation for extensible database query optimization,1999,"Navin Kabra, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Constant time permutation: an efficient block allocation strategy for variable-bit-rate continuous media data,1999,"Yueh-Min Huang, Jen-Wen Ding, Shiao-Li Tsao",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
The intrinsic problems of structural heterogeneity and an approach to their solution,1999,"Theo H&#228;rder, G&#252;nter Sauter, Joachim Thomas",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Fast joins using join indices,1999,"Zhe Li, Kenneth A. Ross",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Efficient support for interactive service in multi-resolution VOD systems,1999,"Kelvin K. W. Law, John C. S. Lui, Leana Golubchik",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,1999,"Goksel Aslan, Dennis McLeod",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
MIL primitives for querying a fragmented world,1999,"Peter A. Boncz, Martin L. Kersten",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Deadlock detection in distributed database systems: a new algorithm and a comparative performance analysis,1999,"Natalija Krivokapi&#263;, Alfons Kemper, Ehud Gudes",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,2001,"Changzhou Wang, X. Sean Wang",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
A graph-theoretic model for optimizing queries involving methods,2001,"Chiang Lee, Chi-Sheng Shih, Yaw-Huei Chen",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
HMAP- A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,2001,"Carlo Combi, Giuseppe Pozzi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Supporting efficient multimedia database exploration,2001,"Wen-Syan Li, K.Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Progressive evaluation of nested aggregate queries,2000,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Combining multi-visual features for efficient indexing in a large image database,2001,"Anne H. H. Ngu, Quan Z. Sheng, Du Q. Huynh, Ron Lei",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Optimizing database architecture for the new bottleneck: memory access,2000,"Stefan Manegold, Peter A. Boncz, Martin L. Kersten",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Online dynamic reordering,2000,"Vijayshankar Raman, Bhaskaran Raman, Joseph M. Hellerstein",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
Exploiting early sorting and early partitioning for decision support query processing,2000,"J. Claussen, A. Kemper, D. Kossmann, C. Wiesner",The VLDB Journal &mdash; The International Journal on Very Large Data Bases
